2026-08-17 08:53:20 | INFO | pytest | 开始用例: [2/14] tests\test_core_store.py::test_product_detail_add_to_cart
2026-08-17 08:53:20 | INFO | pytest | 准备浏览器驱动: 默认配置
2026-08-17 08:53:27 | INFO | product | 打开商品详情页: https://web21.posify.me/fskinandlasersit@9.3.01.2403.0625.21/products/Laser+hair+removal+-+Brazilian
2026-08-17 08:53:35 | INFO | page | 查找元素: ('id', 'sku-price')
2026-08-17 08:53:36 | INFO | page | 元素已找到: ('id', 'sku-price')
2026-08-17 08:53:36 | INFO | page | 查找元素: ('id', 'action-button')
2026-08-17 08:53:36 | INFO | page | 元素已找到: ('id', 'action-button')
2026-08-17 08:53:43 | INFO | pytest | 用例通过: [2/14] tests\test_core_store.py::test_product_detail_add_to_cart
2026-08-17 08:53:45 | INFO | pytest | 关闭浏览器驱动
